graph,n,m,algorithm,median_ms,check,notes
random d=2,16384,32768,dijkstra-csr (new),1.484,ok,""
random d=2,16384,32768,dijkstra (repo),2.658,ok,""
random d=2,16384,32768,dijkstra-4ary (new),1.382,ok,""
random d=2,16384,32768,improved-v1 (repo),2.641,ok,""
random d=2,16384,32768,improved-v2 (repo),1.904,ok,""
random d=2,16384,32768,core (repo),4.231,ok,""
random d=2,16384,32768,dmm25 (new),36.271,ok,"N'=65536 k=2 t=6 L=3 relax/m=14.37 pre=2ms"
random d=2,16384,32768,chd t0=16 (new),5.320,ok,"N'=14173 k=4 t=16 L=1 relax/m=0.80 del=0 pre=2ms formal=Bellman-Ford"
random d=2,16384,32768,chd t0=4 (new),5.261,ok,"N'=14173 k=2 t=4 L=4 relax/m=0.80 del=227 pre=2ms formal=Bellman-Ford"
random d=4,16384,65536,dijkstra-csr (new),2.317,ok,""
random d=4,16384,65536,dijkstra (repo),2.444,ok,""
random d=4,16384,65536,dijkstra-4ary (new),1.770,ok,""
random d=4,16384,65536,improved-v1 (repo),2.496,ok,""
random d=4,16384,65536,improved-v2 (repo),2.216,ok,""
random d=4,16384,65536,core (repo),4.605,ok,""
random d=4,16384,65536,dmm25 (new),99.404,ok,"N'=131072 k=2 t=6 L=3 relax/m=17.35 pre=5ms"
random d=4,16384,65536,chd t0=16 (new),8.071,ok,"N'=16084 k=4 t=16 L=1 relax/m=0.98 del=0 pre=3ms formal=Bellman-Ford"
random d=4,16384,65536,chd t0=4 (new),8.624,ok,"N'=16084 k=2 t=4 L=4 relax/m=0.98 del=291 pre=3ms formal=Bellman-Ford"
random d=7,16384,114688,dijkstra-csr (new),3.193,ok,""
random d=7,16384,114688,dijkstra (repo),3.268,ok,""
random d=7,16384,114688,dijkstra-4ary (new),2.114,ok,""
random d=7,16384,114688,improved-v1 (repo),3.458,ok,""
random d=7,16384,114688,improved-v2 (repo),3.185,ok,""
random d=7,16384,114688,core (repo),5.388,ok,""
random d=7,16384,114688,dmm25 (new),229.296,ok,"N'=229376 k=2 t=6 L=3 relax/m=17.52 pre=9ms"
random d=7,16384,114688,chd t0=16 (new),15.230,ok,"N'=16372 k=4 t=16 L=1 relax/m=1.00 del=0 pre=7ms formal=Bellman-Ford"
random d=7,16384,114688,chd t0=4 (new),14.762,ok,"N'=16372 k=2 t=4 L=4 relax/m=1.00 del=408 pre=7ms formal=Bellman-Ford"
random d=16,16384,262144,dijkstra-csr (new),6.711,ok,""
random d=16,16384,262144,dijkstra (repo),7.051,ok,""
random d=16,16384,262144,dijkstra-4ary (new),4.352,ok,""
random d=16,16384,262144,improved-v1 (repo),6.989,ok,""
random d=16,16384,262144,improved-v2 (repo),6.879,ok,""
random d=16,16384,262144,core (repo),11.974,ok,""
random d=16,16384,262144,dmm25 (new),525.206,ok,"N'=524288 k=2 t=7 L=3 relax/m=17.30 pre=22ms"
random d=16,16384,262144,chd t0=16 (new),31.752,ok,"N'=16384 k=4 t=16 L=1 relax/m=1.00 del=0 pre=20ms formal=Bellman-Ford"
random d=16,16384,262144,chd t0=4 (new),31.351,ok,"N'=16384 k=2 t=4 L=4 relax/m=1.00 del=768 pre=19ms formal=Bellman-Ford"
random d=2,65536,131072,dijkstra-csr (new),7.679,ok,""
random d=2,65536,131072,dijkstra (repo),11.008,ok,""
random d=2,65536,131072,dijkstra-4ary (new),7.228,ok,""
random d=2,65536,131072,improved-v1 (repo),10.718,ok,""
random d=2,65536,131072,improved-v2 (repo),11.832,ok,""
random d=2,65536,131072,core (repo),23.346,ok,""
random d=2,65536,131072,dmm25 (new),217.824,ok,"N'=262144 k=2 t=6 L=3 relax/m=15.36 pre=8ms"
random d=2,65536,131072,chd t0=16 (new),35.684,ok,"N'=56599 k=4 t=16 L=1 relax/m=0.80 del=0 pre=9ms formal=C-HD"
