graph,n,m,algorithm,median_ms,check,notes
random d=2,4194304,8388608,dijkstra-csr (new),2959.369,ok,""
random d=2,4194304,8388608,dijkstra (repo),3058.195,ok,""
random d=2,4194304,8388608,dijkstra-4ary (new),4617.069,ok,""
random d=2,4194304,8388608,chd t0=16 (new),6492.552,ok,"N'=3627047 k=4 t=16 L=2 relax/m=0.80 del=0 pre=1262ms formal=C-HD"
random d=5,4194304,20971520,dijkstra-csr (new),8741.907,ok,""
random d=5,4194304,20971520,dijkstra (repo),7158.404,ok,""
random d=5,4194304,20971520,dijkstra-4ary (new),7728.374,ok,""
random d=5,4194304,20971520,chd t0=16 (new),10498.998,ok,"N'=4165991 k=4 t=16 L=2 relax/m=0.99 del=0 pre=2466ms formal=C-HD"
random d=10,4194304,41943040,dijkstra-csr (new),11977.362,ok,""
random d=10,4194304,41943040,dijkstra (repo),9232.122,ok,""
random d=10,4194304,41943040,dijkstra-4ary (new),8018.561,ok,""
random d=10,4194304,41943040,chd t0=16 (new),16686.869,ok,"N'=4194125 k=4 t=16 L=2 relax/m=1.00 del=0 pre=6781ms formal=C-HD"
random d=16,4194304,67108864,dijkstra-csr (new),15850.146,ok,""
random d=16,4194304,67108864,dijkstra (repo),13279.301,ok,""
random d=16,4194304,67108864,dijkstra-4ary (new),9447.758,ok,""
random d=16,4194304,67108864,chd t0=16 (new),23131.928,ok,"N'=4194304 k=4 t=16 L=2 relax/m=1.00 del=0 pre=9336ms formal=Bellman-Ford"
